unix_time,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,rot_x,rot_y,rot_z,mag_x,mag_y,mag_z,lat,lng,bearing,speed,alt,err_lat,err_lng,pressure,station,run,walk,auto,cycling,unknown
162067.703623458,,,,,,,,,,,-65.7561645508,-14.2948303223,363.4305725098,,,,,,,,,,,,,,
162067781.214958,-0.1115417480,-0.6227569580,-0.7585296631,,,,,,,,,,,,,,,,,,,,,,,,
162067806.355958,,,,,-0.0821803575,0.0326434307,0.0690618923,,,,,,,,,,,,,,,,,,,,
162067.804731458,,,,,,,,,,,-66.4288635254,-13.2857818604,364.7384643555,,,,,,,,,,,,,,
162067885.82175,-0.1292114258,-0.6029510498,-0.7570800781,,,,,,,,,,,,,,,,,,,,,,,,
162067906.895792,,,,,-0.0504879416,0.1180241090,-0.0114577180,,,,,,,,,,,,,,,,,,,,
162067.905832167,,,,,,,,,,,-66.2606964111,-16.1447448730,363.9210205078,,,,,,,,,,,,,,
1451923542991.44,,,,,,,,,,,,,,52.3943444481607,13.1324109993997,225.3515625,0.0,38.2279052734375,5.0,8.0,,,,,,,
162067990.479,-0.1272583008,-0.6139373779,-0.7637634277,,,,,,,,,,,,,,,,,,,,,,,,
162068007.929167,,,,,-0.0850704200,0.0342621001,-0.0148332746,,,,,,,,,,,,,,,,,,,,
162068.006867333,,,,,,,,,,,-64.5789489746,-14.4629974365,364.2479858398,,,,,,,,,,,,,,
162068095.684875,-0.1409301758,-0.5980072021,-0.7857971191,,,,,,,,,,,,,,,,,,,,,,,,
162068108.966208,,,,,0.0954383724,-0.0343140317,-0.0419607661,,,,,,,,,,,,,,,,,,,,
